,speed
1105,truck:0km/H
1106,car:0km/H
1107,car:2km/H
1108,car:0km/H
1109,car:0km/H
1110,car:0km/H
1111,car:0km/H
1112,car:0km/H
1113,truck:0km/H
1114,car:0km/H
1115,car:2km/H
1116,car:0km/H
1117,car:0km/H
1118,car:0km/H
1119,car:0km/H
1120,car:0km/H
1121,truck:0km/H
1122,car:0km/H
1123,car:2km/H
1124,car:0km/H
1125,car:0km/H
1126,car:0km/H
1127,car:0km/H
1128,car:0km/H
1129,truck:0km/H
1130,car:0km/H
1131,car:2km/H
1132,car:0km/H
1133,car:0km/H
1134,car:0km/H
1135,car:0km/H
1136,car:0km/H
1137,truck:0km/H
1138,car:0km/H
1139,car:2km/H
1140,car:0km/H
1141,car:0km/H
1142,car:0km/H
1143,car:0km/H
1144,car:0km/H
1145,truck:0km/H
1146,car:1km/H
1147,car:2km/H
1148,car:0km/H
1149,car:0km/H
1150,car:0km/H
1151,car:0km/H
1152,car:0km/H
1153,truck:0km/H
1154,car:1km/H
1155,car:2km/H
1156,car:0km/H
1157,car:0km/H
1158,car:0km/H
1159,car:0km/H
1160,car:0km/H
1161,truck:0km/H
1162,car:1km/H
1163,car:2km/H
1164,car:0km/H
1165,car:0km/H
1166,car:0km/H
1167,car:0km/H
1168,car:0km/H
1169,truck:0km/H
1170,car:1km/H
1171,car:2km/H
1172,car:0km/H
1173,car:0km/H
1174,car:0km/H
1175,car:0km/H
1176,car:0km/H
1177,truck:0km/H
1178,car:1km/H
1179,car:2km/H
1180,car:0km/H
1181,car:0km/H
1182,car:0km/H
1183,car:0km/H
1184,car:0km/H
1185,truck:0km/H
1186,car:1km/H
1187,car:2km/H
1188,car:0km/H
1189,car:0km/H
1190,car:0km/H
1191,car:0km/H
1192,car:0km/H
1193,truck:0km/H
1194,car:1km/H
1195,car:2km/H
1196,car:0km/H
1197,car:0km/H
1198,car:0km/H
1199,car:0km/H
1200,car:0km/H
1201,truck:0km/H
1202,car:1km/H
1203,car:2km/H
1204,car:0km/H
1205,car:0km/H
1206,car:0km/H
1207,car:0km/H
1208,car:0km/H
1209,truck:0km/H
1210,car:1km/H
1211,car:2km/H
1212,car:0km/H
1213,car:0km/H
1214,car:0km/H
1215,car:0km/H
1216,car:0km/H
1217,truck:0km/H
1218,car:1km/H
1219,car:2km/H
1220,car:0km/H
1221,car:0km/H
1222,car:0km/H
1223,car:0km/H
1224,car:0km/H
1225,truck:0km/H
1226,car:1km/H
1227,car:2km/H
1228,car:0km/H
1229,car:0km/H
1230,car:0km/H
1231,car:0km/H
1232,car:0km/H
1233,truck:0km/H
1234,car:1km/H
1235,car:2km/H
1236,car:0km/H
1237,car:0km/H
1238,car:0km/H
1239,car:0km/H
1240,car:0km/H
1241,truck:0km/H
1242,car:1km/H
1243,car:0km/H
1244,car:0km/H
1245,car:0km/H
1246,car:0km/H
1247,car:0km/H
1248,truck:0km/H
1249,car:1km/H
1250,car:0km/H
1251,car:0km/H
1252,car:0km/H
1253,car:0km/H
1254,car:0km/H
1255,truck:0km/H
1256,car:1km/H
1257,car:0km/H
1258,car:2km/H
1259,car:0km/H
1260,car:0km/H
1261,car:0km/H
1262,car:0km/H
1263,truck:0km/H
1264,car:1km/H
1265,car:0km/H
1266,car:0km/H
1267,car:0km/H
1268,car:0km/H
1269,car:0km/H
